"","Race","Region","EDUC","Gender"
"2431","Hispanic","South","Secondary","Male"
"2432","White","West","Secondary","Female"
"2433","White","Northeast","Secondary","Female"
"2434","White","West","Primary","Male"
"2435","White","South","Bachelors","Male"
"2436","White","Midwest","Primary","Female"
"2437","Black","South","Secondary","Male"
"2438","White","South","Secondary","Male"
"2439","White","Midwest","Secondary","Female"
"2440","White","Midwest","Masters","Female"
"2441","White","Midwest","Secondary","Female"
"2442","White","South","Primary","Male"
"2443","White","Midwest","Professional","Male"
"2444","Black","South","Secondary","Female"
"2445","Hispanic","South","Secondary","Female"
"2446","White","Midwest","Masters","Male"
"2447","White","Northeast","Masters","Male"
"2448","White","South","Secondary","Female"
"2449","White","South","Bachelors","Female"
"2450","White","South","Professional","Male"
"2451","White","South","Secondary","Female"
"2452","Black","South","Secondary","Male"
"2453","White","South","Professional","Male"
"2454","White","West","Primary","Male"
"2455","White","Midwest","Secondary","Male"
"2456","White","Midwest","Secondary","Female"
"2457","Black","Midwest","Secondary","Female"
"2458","White","West","Secondary","Female"
"2459","White","Northeast","Primary","Male"
"2460","White","Midwest","Bachelors","Male"
"2461","White","West","Secondary","Male"
"2462","Hispanic","South","Secondary","Male"
"2463","Black","West","Secondary","Female"
"2464","Hispanic","Midwest","Secondary","Female"
"2465","Black","South","Primary","Male"
"2466","White","Midwest","Masters","Male"
"2467","Other","South","Masters","Male"
"2468","White","South","Secondary","Male"
"2469","White","Northeast","Bachelors","Female"
"2470","Black","South","Secondary","Male"
"2471","Black","South","Primary","Male"
"2472","Black","Midwest","Bachelors","Male"
"2473","White","Midwest","Bachelors","Male"
"2474","White","South","Bachelors","Female"
"2475","White","South",NA,"Female"
"2476","Asian/Pacific Islander","South","Primary","Male"
"2477","White","Midwest","Professional","Male"
"2478","White","Midwest","Secondary","Male"
"2479","White","Midwest","Bachelors","Female"
"2480","White","South","Professional","Female"
"2481","White","Midwest","Secondary","Male"
"2482","Black","Midwest","Secondary","Male"
"2483","White","Northeast","Professional","Male"
"2484","White","Midwest","Secondary","Female"
"2485","Black","Midwest","Secondary","Female"
"2486","White","West","Secondary","Male"
"2487","Asian/Pacific Islander","West","Masters","Female"
